trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-119.08870575591763,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-152.3035854154244,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-128.24698794035808,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-81.82190860552171,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,16,-24.24048324121796,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,4,8.823219801452451,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-41.18415226694622,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,26,16.607089219356297,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,4,4.449355500958362,"{0: 21, 1: 5, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-48.261036338185946,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-32.77958857076526,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-85.86899993237392,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-64.60483945340341,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-49.49348441244143,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,5.839771492818064,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,18,-19.419007588282597,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-28.585074535285386,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,5.754415789862723,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,-6.137207252647584,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,33.92221159314548,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,15.109030738079495,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,20.332075145633485,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,6,39.857050026947945,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,19,16.953161088093985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,5,25.708819192440394,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,7,34.8725132379339,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,28.18084587038585,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,38.173418338786846,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,18,22.623527796723614,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,27,8.465701480255314,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
