trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-173.6979440261404,"{0: 8, 1: 6, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-9.96244001186204,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-89.21266704541263,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-92.94795034532054,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-221.3218573131579,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,7,-54.13418500388661,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,0,-265.3696309443963,"{0: 18, 1: 5, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-112.49176062421724,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-128.55725837432593,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-130.5135526913607,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-206.97199216790247,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-138.03225730296305,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-75.3881548814139,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",35,14,-70.03521058999938,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-53.21886766454929,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",35,0,-124.19107179899481,"{0: 22, 1: 6, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-56.90528134204365,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-146.36915640765565,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-173.14104002944129,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,4,3.82380978577375,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,7,-36.552027790586116,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,0,-105.93325316054059,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
