trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.40069076503785,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.7032856132065,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,14,-64.10589321069996,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.37681477416804,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.7736173330793,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.376865527681574,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.95048765137946,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.57732080990345,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.4335452128098,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.36285411305329,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.2336900596312,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.42224417531229,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.01138633628282,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.1306380390969,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.11611313974362,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.03382185847207,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.79062764036094,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.41815035472817,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.32379921271243,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.11056892654048,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.4764865229679,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.59352503300427,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.46197462652725,"{0: 16, 1: 9, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.88851091198807,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.18007256412727,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.04169306302089,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.21230363042048,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.3283499522717,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.58263018850496,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-85.70244346529684,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
